English,French,Fulfulde
"Since currently the issues of protection of Traditional Knowledge, Traditional Cultural Expressions (Folklore) are most urgent and discussed in international community, our office also observes the development of Traditional Knowledge and Traditional Cultural Expressions (Folklore) protection in other countries.","Les questions de protection des savoirs traditionnels, des expressions culturelles traditionnelles et du folklore sont aujourd'hui particulièrement pressantes et sont examinées au sein de la communauté internationale, mais l'Office des brevets du Kirghizstan observe également la mise en place d'une protection des savoirs traditionnels, des expressions culturelles traditionnelles et du folklore dans d'autres pays.",
That was super loud.,Le bruit que ça a fait !,
You have to miss out.,Tu dois la rater.,
What a jerk you are.,Quel idiot tu fais.,
"However paradoxical it may be, purely and solely freedom of thought.","Aussi paradoxal que cela puise paraître, grâce à la pure et simple liberté de pensée.",
"If convicted, you'll be subject to a prison sentence of 3 years.","Si vous êtes reconnue coupable, votre peine maximale sera de trois ans dans une prison d'état.",
CHAPTER 18 - NON-RENEWABLE RESOURCES 18.1.0 18.1.1 Specified Substances A Yukon First Nation having a Specified Substances Right and a Person having a Mineral Right shall exercise those rights so far as practicable in a manner that the exercise of one right does not interfere with the exercise of the other right.,"CHAPITRE 18 - RESSOURCES NON RENOUVELABLES 18.1.0 Matières spécifiées 18.1.1 La première nation du Yukon qui dispose d'un droit relatif aux matières spécifiées ainsi que la personne qui est titulaire d'un droit minier doivent, autant que possible, faire en sorte de ne pas se gêner dans l'exercice de leurs droits respectifs.",
Cocksuckers dropped a tree across the road.,Ces enfoirés ont fait tomber un arbre sur la route.,
"(*) These measures became necessary because on 28 February 1985, the expiry date not only of the second ACP-EEC Convention but also of Decisions 80/1186/EEC and 80/1187/ECSC, which governed relations between the Community and the OCT, the new Decision on the association of the OCT with the Community had not yet been adopted and steps had to be taken to avoid any break in continuity.","(*) Ces mesures ont été rendues nécessaires par le fait qu'à l'expiration, le 28 février 1985, des décisions 80/1186/CEE, 80/1187/CECA et de la deuxième Convention ACP­CEE et régissant les relations entre la Com­munauté et les PTOM, la nouvelle décision relative à l'association des PTOM à la Communauté n'avait pas encore été adoptée et qu'il convenait d'éviter toute solution de continuité.",
Slow down!,Doucement !,
"In related news, it was reported that the police had arrested 24 settlers in Hebron who had refused to evacuate a protest tent they had set up at the Gross square in the city.","Par ailleurs, il a été signalé qu'à Hébron, la police avait arrêté 24 colons qui refusaient d'évacuer une tente qu'ils avaient dressée sur la place Gross en signe de protestation.",
"This resolution, which all the groups have supported and which will be voted on today, is reasonable.","Cette résolution, soutenue par tous les groupes et qui sera votée aujourd’ hui, est raisonnable.",
The kit comprises tape and...,Le kit contient des rubans ainsi...,
No down time. Reliable operation handles big print volumes with ease and keeps your business up and running no matter the workload.,Aucun temps d'arrêt Le fonctionnement fiable gère de gros volumes d'impression avec facilité et maintient le bon état opérationnel de votre entreprise quelle que soit la charge de travail.,
Hey cousin.,"Hé, Repo. - Oui cousin",
Item 6 of the provisional agenda,Point 6 de l'ordre du jour provisoire,
"On the other hand, he is quite sweet, isn't he?","Cela dit, c'est vrai qu'il est tout mimi.",
"These higher rates in the south are attributed to greater intensity of exposure to non-Aboriginal influence, and subsequent loss of traditional diets and lifestyles (Daniel and Gamble, 1995).","On explique ces taux plus élevés observés dans le sud par une exposition accrue à l'influence non autochtone, et à l'abandon du régime alimentaire et du style de vie traditionnels (Daniel et Gamble, 1995).",
"You can also make photocopies of this sheet and pass it on to other believers, who could also become daily sowers, hand it out, send it by regular mail or email.",Imprimez et faites des photocopies de cette feuille et partagez-la aux autres chrétiens autour de vous qui pourraient aussi devenir des semeurs quotidiens?,
"The men are old friends of yours, one alive, the other dead.","Des amis à vous. L'un est vivant, l'autre mort.",
Jeff's date book said that he was having drinks with Andy Abbott the night he was killed. So why didn't Andy tell us that?,L'agenda de Jeff dit qu'il a bu avec Andy Abbott le soir de son assassinat.,
"""Believe me, Harvey, by the end of the week, this kid will cook his own goose.""","""Crois-moi, Harvey, d'ici la fin de la semaine, il se trahira.""",
30 months,BO : CA :,
"The developments that have taken place in 2003 in some parts of the world have deepened our concern about the possibility of the use of nuclear, biological or chemical weapons by some States or non-State entities.","Les événements dont certaines régions du monde ont été le théâtre en 2003 ont ravivé nos craintes s'agissant du recours possible à des armes nucléaires, biologiques ou chimiques de la part d'États ou d'entités non étatiques.",
Hello.,Bonjour.,
C'est tout ? et oui.,C'est tout ? et oui.,
You're new in this country and on to all the rackets.,Vous venez d'arriver et vous connaissez les trucs.,
"the following statement or an equivalent statement: ‘This product is intended for children up to 36 months old, weighing a maximum of 15 kg, who are able to sit up unaided.’,","l’indication suivante ou une indication équivalente: «Ce produit est destiné aux enfants de moins de trente-six mois, d’un poids maximal de 15 kilogrammes et capables de se tenir assis sans assistance.»,",
"282nd PLENARY SESSION advertising must conform, where it is authorized.",SESSION PLÉNIÈRE,
"The secretariat is managed by the Executive Secretary of the Roll Back Malaria Partnership and operates at the global, regional, subregional and country levels.","Le secrétariat est géré par le Secrétaire exécutif du Partenariat et intervient aux niveaux mondial, régional, sous-régional et national.",
What are you saying?,Qu'es-tu en train de dire?,
- It's not steroids either.,- Ni les anabolisants.,
3 And they prophesied unto Com many things; and he was blessed in all the remainder of his days.,3 Et ils prophétisèrent beaucoup de choses à Com; et il fut béni tout le reste de sa vie.,
Dutch NGOs' contribution to the First Universal Periodic Review of the Netherlands by the UN Human Rights Council.,Dutch NGOs' contribution to the First Universal Periodic Review of the Netherlands by the UN Human Rights Council.,
"Hey,Ritchie...","Salut, Ritchie...",
"2011/05/26 The development of Dream Pinball 3D 2 is on the way under the hands of A.S.K. Homework. The development is yet delayed by the porting of the code of the PC version of Battle vs. Chess, originally started by the same development studio.","2011/05/26 Le développement de Dream Pinball 3D 2 est sur le chemin sous les mains de A.S.K. Homework. Le développement est encore retardée par le portage du code de la version PC de Battle vs. Chess, initialement lancé par le meme studio de développement.",
"A number of viable suggestions were provided and were either already included in the operational plan, or included in future plans.","Plusieurs suggestions utilisables ont été formulées. Si elles n'étaient pas déjà incluses dans le plan opérationnel, elles ont été ajoutées aux plans futurs.",
"Ugh, I think his horse needs a bath again.","Il devrait laver son cheval, de temps en temps.",
"(b) Assess existing monitoring and assessment procedures in international conventions, processes, instruments and organizations related to forests;","b) Évaluer les procédures actuelles de suivi et d'évaluation des conventions, mécanismes, instruments et organismes internationaux relatifs aux forêts;",
"# But Papa's not real, he don't bleed what I bleed # # I'm nineteen strong, a kid with a kid # # And ain't too many people outdid what I did #","Et maintenant, pour votre plaisir, en attendant le grand match, applaudissez les ""Cut Boys""!",
Statistical frameworks are intended to summarize what is going on in our complex society in a few easily interpretable numbers.,Les statistiques visent à résumer ce qui se passe dans notre société complexe en quelques chiffres interprétables aisément.,
"Uh, here.",Le voici.,
Run it again.,Repasse le encore?,
"My young lieutenant,","Mon jeune lieutenant,",
"The small pull-out couch is a bit better but it is impossible for 2 to sleep well on the futon, it is a bit small...","Le petit BZ est un peu mieux, mais lorsque l'on est à 2, et qu'il est impossible de dormir convenablement dans le clic-clac, il est un peu petit...",
"If you put them all together... the three of them want more than you gotta give, so what do you do?","Tu mets les trois ensemble, ça te demande plus que tu ne peux donner. Que faire?",
They are afraid.,ils ont peur.,
"You've meddled in my business for the last time, Mr. Kuffs.",Tu t'es mêlé de mes affaires pour la dernière fois M.Kuffs.,
"Communication allowance for deafmutes: ITL 311,780 (· 161).",Indemnité de communication pour sourds-muets: ITL 311.780 (· 161 ).,
"DANNY, TAKE ALICE TO BE YOUR WIFE?",..Danny.. prendre Alice pour épouse ?,
Colonel Carter is putting together a rescue operation that we can implement the moment we get confirmation.,Le colonel Carter met sur pied une opération de sauvetage que nous pourrons lancer dès que nous aurons une confirmation.,
Cataracts observed in mammals and human beings can be classified in three categories:,Les cataractes observées chez les animaux et les humains peuvent être classifiées en trois catégories :,
Al-Qaeda also differs from past forms of terrorism in its global scope and decentralized network of fairly autonomous cells.,Al-Qaida se distingue également des organisations terroristes précédentes par son rayonnement mondial et son réseau décentralisé constitué de cellules relativement autonomes.,
You think someone's little sister has groupies?,Tu penses qu'une petite soeur a des groupies ?,
You're right. You don't have a fever.,Vous n'avez pas de fièvre.,
"Second, there is no killer-guy!","Et puis, y a pas de tueur.",
"Hey, that guy you shot, genius, was the one with the key.","T'as tiré sur celui qui avait la clé, gros malin.",
The main feature of the park is the same slope on which it was designed: at some points the height difference is more than fifty yards.,"La caractéristique principale du parc est la pente sur laquelle il a été conçu: dans certains endroits, le dénivelé est de plus de cinquante mètres.",
Nice.,Bien.,
Réal Croteau Université du Québec en Outaouais Telephone: (819) 595-3960 E-mail: real.croteau@uqo.ca,Réal Croteau Université du Québec en Outaouais Téléphone : (819) 595-3960 Courriel : real.croteau@uqo.ca,
...WILLING TO THINK OUTSIDE THE BOX.,- pensant hors des normes.,
Turkey...,Lampe...,
This man is a journalist.,Cet homme est journaliste.,
Over there lies the West.,Là-bas se trouve l'Ouest.,
"I mean, a squid!","Je veux dire, un calamar!",
They are also introducing new monitoring software to flag and track unusual and suspicious transactions.,Elles introduisent également de nouveaux logiciels de contrôle pour repérer et suivre toutes transactions inhabituelles et suspectes.,
Mr Karl-Heinz NARJES said he admired the political courage of Robert SCHUMAN and Konrad ADENAUER; but we must still not forget that the time was ripe.,"M. Karl Heinz NARJES a indiqué qu'il admirait le courage politique de Robert SCHUMAN et de Konrad ADENAUER, mais il ne faut quand même pas oublier que le moment était favorable.",
The whole rhythm section Was the Purple Gang,"Toute la percussion, c'était le Purple Gang.",
"11-13 chemin des Anémones,","11-13 chemin des Anémones,",
I don't want to negotiate!,Je ne veux pas négocier !,
Refund,Remboursement,
Is it wrong for people to do experiments on animals in their own home?,Je ne sais pas si ceux à qui je parlais,
"Krupp asserts that it paid DEM 1,468,829 (USD 940,351) to AKA pursuant to the guarantee.",Krupp déclare avoir payé à AKA DEM 1 468 829 (USD 940 351) en vertu du contrat de garantie.,
"- Okay with you, right?",- Ça vous va ?,
"A9.2.3.1 In the first sentence, replace “longer-term toxicity” with “long-term toxicity”.",A9.2.3.1 L'amendement concernant la première phrase ne s'applique pas à la version française.,
In The Oxford History of the Prison. Edited by N. Morris and D.J. Rothman.,"The prison for women », dans The Oxford History of the Prison, sous la direction de N. Morris et D.J. Rothman, Oxford, Oxford University Press.",
"Georgsmarienhütte GmbH, a steelworks located in the Land of Lower Saxony, qualifies for exemption from its environmental obligations covering the recycling and disposal of industrial dust.","L'aciérie Georgsmarienhütte GmbH, établie dans le Land de Basse-Saxe, bénéficie d'une exemption de ses obligations environnementales de recyclage et d'élimination des poussières industrielles.",
16 to 30,16 à 30,
And you did well? Yes.,Vous vous en êtes bien sorti ?,
CHAPTER VIII,CHAPITRE VIII,
"The draft decision submitted by the Chairman following informal consultations was before the Committee (see A/C.5/58/L.53, sect.","La Commission était saisie du projet de décision soumis par le Président à l'issue de consultations officieuses (voir A/C.5/58/L.53, sect.",
"- Hey, dad.",Papa...,
"CIDA Planned Spending by Program Activity ($ millions) 2007-2008 Total: $3,069.4 Multilateral, International & Canadian Institutions $919.0 30% Engaging Canadian Citizens $74.7 2%","Dépenses prévues de l'ACDI par activité de programme (en millions de dollars) 2007-2008 Total : 3 069,4 $ Engagement des citoyens canadiens 74,7 $ 2%",
"Yeah, apparently a goddamned reunion.","Oui, c'était de sacrées retrouvailles.",
- Into threes. - In threes.,En rangs par 3.,
"On balance, the available evidence suggests that the net impact of trade on employment has been positive.","Tout compte fait, il semble que les répercussions nettes du commerce sur l'emploi aient été positives.",
It's okay to leave them.,On les laisse seules?,
"No house, no money, just you and me.","Ni argent ni maison. Toi et moi, seuls.",
"When I first started diving, I was terrified of the water.","A ma première leçon, j'étais terrifiée par l'eau.",
Tom fell into the water.,Tom est tombé dans l'eau.,
- What's that?,SUSAN : Qu'est-ce que c'est ?,
I was the one he wanted to laugh at.,J'étais celui dont il voulait se moquer.,
New visiting service to prison inmates » Sovereign Order of Malta - Official site,Nouveau service d’assistance aux détenus » Ordre Souverain de Malte - Site officiel,
Is everything okay?,Tout est ok ici?,
She's been spreading lies about your sister.,Elle a répandu des mensonges à propos de votre soeur.,
Number of results: 103,nombre de résultats: 103,
I need you in the lab right now.,Venez au labo.,
They're dead.,Ils sont morts.,
Tenancy deposit loans are free of interest and repayments for 5 years and are then repaid over 10 years.,Les remboursements ne débutent qu'au terme de cette période et s'échelonnent pendant 10 ans.,
"It also depends on the price of the product, which price is used (e.g., market, international) and where in the chain the price is collected.","Il dépend également du prix du produit, du type de prix utilisé (prix du marché, prix international), et du niveau de la chaîne de production auquel les données relatives à ce prix sont collectées.",
4 The first Canadian screening program screen provided to a woman.,4 Premier examen effectué sur une femme dans le cadre d'un programme canadien de dépistage.,
Do you know where the wicked go after death?,- Savez-vous où vont les méchants après leur mort?,
"Barb, don't you knock?","- Tu peux pas frapper, Barb?",
"The OCI is committed to comply with applicable legislation and TB policies, and demonstrate accountability and transparency in its management of financial and human resource management.","Enfin, le Bureau a conclu une nouvelle entente qui précise les rôles et responsabilités du ministère de la Sécurité publique et de la Protection civile en tant que fournisseur des services de gestion des ressources financières et humaines.",
"""And I feel only love flowing""","""Et je ne ressens que de l'amour",
It further takes note that there are ongoing discussions on the establishment of such a body.,Il note qu'un débat est en cours sur la mise en place d'un tel mécanisme.,
Figure 1 shows histograms depicting the distributions of the three micronutrients.,La figure 1 présente des histogrammes illustrant les distributions de ces trois micronutriments.,
"Come on, what do you say?","Allez, qu'est-ce que vous dites?",
"BUT, EW, THE GARF?","Mais, lou, le Garf ? ! Enfin...",
That's my mom.,C'est ma mère.,
Being a beginner does not mean suffering constant losses.,Etre un trader débutant ne signifie pas être un trader perdant.,
What's your theory?,Quelle est ta théorie ?,
o Effective communication of health information and other project information Steps to Address the Potential Effects on People Who Lived on or Near the Site,o La communication efficace de l'information sur la santé et d'autres renseignements connexes. Activités permettant de connaître les effets potentiels sur les personnes habitant le site ou à proximité :,
technological neutrality and adaptability;,la neutralité technologique et l’adaptabilité;,
Of course.,"Oui, absolument.",
"At the request of a WTO member, the outcome was distributed at the Committee on Trade and Environment and the TRIPS Council.","À la demande d'un pays membre de l'OMC, ce texte a été communiqué au Comité du commerce et de l'environnement et au Conseil des aspects des droits de propriété intellectuelle qui touchent au commerce (ADPIC).",
I see her all the time at the Bar Method.,Je la vois tout le temps à la gym.,
"Which means, a Dacier Safari will hit you where you live!","Palongo bagana Africa. Ça veut dire qu'avec Dacier Safari, vous allez en prendre plein la tête.",
The importance of partnerships was emphasized repeatedly.,L'importance des partenariats a été soulignée à maintes reprises.,
It is a classic turn of the century dressing gown.,C'est un tournant classique du siècle de la robe de chambre.,
I bet you are.,J'en suis sûr.,
"Personally, for me what it means is… I can’t recite the number of times I’ve been sitting in villages, talking to mothers and you get to the point in the conversation where you say “how many children do you have?” You get an answer, but then when you go a little bit deeper you’ve discovered that she’s had 6 children, but 3 of them died.","Personnellement, ce que cela représente pour moi : il m’est impossible de compter le nombre de fois où je me suis assis dans un village pour parler avec une mère et où quand j’ai posé la question « combien d’enfants avez-vous? », j’ai obtenu une réponse, mais en allant un peu plus loin j’apprends qu’elle a eu six enfants, mais que trois d’entre eux sont morts.",
- There ain't no list. Oh I hope my poor Harry's among them.,"Non, mais j'espère que mon Harry en fait partie.",
‘ANNEX I,«ANNEXE I,
The investigation itself could take weeks.,L'enquête elle-même pourrait durer des semaines.,
make him want us more than we want him?,Il faut qu'il nous veuille plus qu'on ne le veut.,
"However, it is considered that the complexity of several issues, namely","Néanmoins, il est considéré qu’en raison de la complexité de plusieurs aspects, à savoir:",
Now go!,Il était là.,
The change in the deferred contributions balance for 2002 is as follows:,Les variations survenues dans le solde des apports reportés pour 2002 sont les suivantes :,
What's wrong with you?,Qu'est-ce que vous avez ?,
(b) Strengthen the effectiveness of its efforts to prevent and reduce the recourse to institutionalization for children in need of alternative care;,b) D'améliorer l'efficacité des mesures qu'il a prises pour prévenir et réduire le recours au placement en institution pour les enfants qui ont besoin d'une protection de remplacement;,
The Government response to the problem seemed somewhat delayed.,La réaction de l'État au problème semble un peu lente.,
Source:www.alabca.org,Source:www.wellscathedral.org.uk,
And you?,Et vous ?,
10 Greece 11 Turkey 12 Norway 13 Sweden 14 Switzerland,10 Grèce 11 Turquie 12 Norvège 13 Suède 14 Suisse,
They are housed temporarily at the “Foyer” until they can be transferred to an asylum seekers home elsewhere in the country. Most asylum seekers stay only for a few days.,"Ils sont logés temporairement au ""Foyer"" jusqu'à ce qu'ils puissent être transférés dans un autre centre pour demandeurs d'asile ailleurs dans le pays. La plupart des demandeurs d'asile ne restent que quelques jours.",
"Look, about yesterday... sometimes people misinterpret me until they get to know me.","Ecoute, pour hier... parfois les gens me comprennent mal jusqu'à ce qu'ils finissent par me connaître.",
Municipalities that so wish may nevertheless delegate the management of this budget to schools.,Les municipalités qui le souhaitent peuvent néanmoins déléguer la gestion de ce budget vers les établissements scolaires.,
Snoezelen® is a therapeutic approach that uses multisensory experiences. It was developed in the Netherlands in the 1970s for people with developmental disabilities.,Snoezelen est une approche thérapeutique qui consiste à utiliser des expériences sensorielles variées.,
She was given Precious Sea to take continuously.,A été prescrit Precious Sea à prendre en continu.,
- What? You on their payroll now too?,"- Ils vous ont acheté aussi, c'est ça ?",
- a higher wealth of non-extractive components and volatile compounds;,- une richesse supérieure en composants non extractifs et en composés volatils ;,
Euphonium and string orchestra (1),Euphonium et orchestre à cordes (1),
"Thu, 10/30/2008 - 13:19","jeu, 10/30/2008 - 13:19",
"In four cases examined by the Board, individual units had bypassed the headquarters Procurement Unit and had failed to comply with the UNFPA Financial Regulations and Rules.","Dans quatre cas examinés par le Comité, des services n'étaient pas passés par le Groupe des achats et ne s'étaient pas conformés au règlement financier.",
There would be no quick end to the fighting.,La guerre ne se terminerait pas rapidement.,
"The souls inside were being burned alive by this hotter than hot lake of fire, and yet they could not die.","Les âmes étaient brûlées vives à l’intérieur par cette chaleur plus intense que celle d’un lac de feu, et cependant elles ne pouvaient pas mourir.",
- It's been years!,- Ça fait un bail !,
"We could take out one of theirs in return, but what would that get us?",A quoi nous servirait de régler son compte à l'un des leurs ?,
"The problem is that most people who say ""We need to learn foreign languages"" only learned one: English. This poses a threat to all humanity.","Le problème est que la plupart des gens qui affirment ""Il faut apprendre des langues étrangères"" n'en apprennent qu'une : l'anglais. Ce qui fait peser une menace pour l'humanité tout entière.",
"""was named SpongeBob SquarePants.""",Bob l'Éponge Carrée.,
"Karl-Heinz LAMBERTZ, Vice-president of the Committee on Culture and Education of the Congress","Présidée par Karl-Heinz LAMBERTZ, Vice-président de la de la Commission de la culture et de l'éducation",
"Oh, daddy.",Bon sang!,
Where you going without me? What's up?,Où vas-tu comme ça sans moi ?,
2. Capabilities,2. Privilèges (capabilities),
Thank you very much.,"Bien au contraire, en fait: si les difficultés ressenties par les États membres à la suite des divisions provoquées par la crise irakienne et l’ engagement pris de sortir de l’ impasse dans laquelle nous nous trouvions ont démontré une chose, c’ est bien qu’ en Europe, nous sommes tous résolument en faveur d’ une politique étrangère commune.",
"It's a story of nations, of ideologies, of territories, and of conflicts among them.","C'est une histoire de nations, d'idéologies, de territoires, et de conflits entre eux.",
"""For now""? You hear that, willis? The boy detective is going to maintain a grudge.","Selon la loi, si on extorque de l'argent à quelqu'un, qu'il vole une banque et tue quelqu'un pour nous payer, on est responsable.",
"Meet me at 6.30 am, Pudu train station.","Rendez-vous à 6h30, gare de Pudu.",
Very well.,Fort bien.,
Their turgescent member gets in me everywhere,Leur être turgescent partout en moi s'immisce,
I told you that I thought Jared was having a rough time.,Je vous ais dit que Jared a eu un rude moment.,
I don't believe that for a second.,Je n'y crois pas une seule seconde.,
"Look at those flames, Mr Ward.",Regardez ces flammes.,
"- You don't want to go to the dance, do you? - Whatever.","- Tu veux pas y aller, hein ?",
"Exercising the rights available to him under the law, he then brought an amparo action before the Supreme Court of Justice of Honduras on 13 September 2001.","Conformément aux droits que lui reconnaît la loi, M. Ictech Guifarro a introduit le 13 septembre 2001 une action en protection constitutionnelle (recours en amparo) devant la Cour suprême.",
"And you should, you should!",Et tu devrais !,
"Bring Derek the rig, and bring Floyd the jig. Bring whatchamacallit. Little and big.","Qu'on aille me chercher des poulies, des machins choses et ainsi de suite !",
"The purpose of the foreign key is to ensure referential integrity of the data. In other words, only values that are supposed to appear in the database are permitted.","En d’autres mots, seules les valeurs devant apparaître dans la base de données sont permises.",
This finding is supported by the 2012-2013 National Border Risk Assessment (NBRA) that states that CBSA physical verification of compliance of travellers and their goods arriving in Canada on general aviation flights is minimal and that many aircraft go unchecked because AOEs do not have the resources to allocate to the clearance of these flights without impacting other operations.[37],"Cette constatation est appuyée par l'ENRF de 2012-2013 selon laquelle l'ASFC ne fait pas beaucoup de vérifications physiques des voyageurs et des marchandises qui arrivent au Canada à bord de vols d'aviation générale et que de nombreux aéronefs ne sont pas vérifiés, car l'AE ne possède pas les ressources nécessaires pour traiter les vols sans que cela ait des répercussions sur d'autres opérations[37].",
"However, when the validity of instruments executed prior to the order of opposition was conditional on the woman’s acquisition of Comoran nationality, the validity of such instruments may not be challenged on the grounds that the woman was unable to acquire Comoran nationality.","Toutefois, lorsque la validité des actes passés antérieurement au décret d'opposition était subordonnée à l'acquisition par la femme de la nationalité comorienne, cette validité ne peut être contestée pour le motif que la femme n'a pu acquérir cette qualité.",
Signature: Colombia (30 October 2001),Signature : Colombie (30 octobre 2001),
"Ms. Forbes, hi.","Mlle Forbes, bonjour.",
"Olivier Henin (Deputy Director, Ministry of Fianance), reappointment proposed by Belgium;","Olivier Henin (Directeur adjoint, Ministère des Finances), renouvellement proposé par la Belgique;",
MAN: Watch out where you're going.,Attention où vous marchez.,
Engage and destroy.,Engagez ef détruisez.,
The independent expert outlines the main characteristics of the present phase of globalization and discusses how it has impacted upon the desired development outcomes and the methods of realizing them.,L'Expert indépendant donne un aperçu des principales caractéristiques de la phase actuelle de mondialisation et examine quel impact elle a eu sur les résultats escomptés en matière de développement et sur les méthodes pour y parvenir.,
"Ibid., para.","Ibid., par. 48.",
Source: Supreme Court of the Republic of Uzbekistan.,"Documents officiels de l'Assemblée générale, cinquante-sixième session, Supplément no 38 (A/56/38), par.",
One of the positive aspects of this report is the recurring theme of the need for us all to look forward with Iraq; concentrating on what can be achieved as Iraq moves ahead into the future and not constantly referring to mistakes and decisions made in the past.,"Le rapport se concentre au contraire sur ce que le rôle de l’ UE sera et devra être à l’ avenir, dans le cadre de l’ assistance fournie aux nouvelles autorités irakiennes.",
- This person. Come on.,C'est bibi !,
o PMRA made presentations on GHS in 2005:?,o L'ARLA a fait les présentations suivantes sur le SGH en 2005 :?,
Thanks for meeting with us.,Merci de nous recevoir.,
"8.42 The amount of $7,691,500 provides for the continuation of 18 posts in the Professional and above category and 10 General Service posts, and non-post items such as other staff costs, consultants and experts, travel of staff, supplies and furniture and equipment.","8.42 Le montant de 7 691 500 dollars permettra de financer le maintien de 18 postes de la catégorie des administrateurs et fonctionnaires de rang supérieur et de 10 postes d'agent des services généraux, et diverses autres dépenses, comme autres dépenses de personnel, consultants et experts, voyages du personnel, fournitures, mobilier et matériel.",
- Scooter?,- Scooter ?,
Table C.4.2 Technical and economic feasibility to extend the use of alternatives,Tableau C.4.2 Faisabilité technique et économique d'une extension de l'utilisation d'alternatives,
See you out there.,On se reverra.,
Good evening.,Bonsoir.,
"O Lord, do have mercy on me, and release me! I am quite broken down and brought low.","O Seigneur, aie pitié de moi et relâche moi ! Je suis assez brisé, mis à bas.",
"In Dictionary of Canadian Biography Online, vol.","Dictionnaire biographique du Canada, vol.",
But there's something wrong with you.,Mais c'est vous.,
"Sandrine left me, I couldn't make her stay.","Sandrine m'avait quitté, j'avais échoué à la retenir.",
"I've seen the world, and still I find you again.","J'ai vu le monde, et je te retrouve encore.",
The CHVI Interdepartmental Committee?,Le Comité interministériel de l’ ICVV ?,
Source:www.ilistads.com,Source:eu1.emgcdn.net,
"Uh, may I recommend my specialty-the leg spreader?",Puis-je recommander ma spécialité? L'écarteur de jambes?,
"Well, uh...",Voyons...,
Malhouin speaking. Have you seen my daughter Marie?,"Dites donc, madame, c'est M. Malhouin à l'appareil, vous n'auriez pas vu ma fille Marie.",
"How do you find that out, Albert?","Comment peut-on savoir ça, Albert ?",
Mad...,En colère..,
"7. will, in 2007, come forward with a proposal for Euro VI emission limits to achieve further significant pollutant emissions reduction from heavy duty vehicles is working towards the adoption of global technical regulations on heavy duty vehicles' emission test cycles (both steady and transient cycles), off-cycle emissions and on-board diagnostic systems so that real-life emissions conditions are better reflected is examining options to ensure that the emissions testing process for passenger cars also takes better account of real-life emissions Reducing CO2 emissions from the road transport sector","La Commission: 6. présentera, en 2007, une proposition concernant des limites d'émission Euro VI afin de réaliser de nouvelles réductions importantes des émissions polluantes des véhicules utilitaires lourds; travaille à l'adoption de réglementations techniques mondiales sur les cycles d'essais des émissions des véhicules utilitaires lourds (essais en mode stabilisé et en cycle transitoire), les émissions hors cycle et les systèmes de diagnostic embarqués, de sorte que les conditions des émissions réelles soient mieux prises en compte; examine les options permettant de faire en sorte que la procédure d'essai des émissions des voitures particulières prenne également mieux en compte les émissions réelles. Réduction des émissions de CO2 du secteur des transports routiers",
When do we start?,On commence quand ?,
Maybe a gang of neighborhood kids out wilding?,Peut-être un gang de jeunes du quartier déchaîné ?,
How can future Healthy Canadians reports be improved?,Dans quelle mesure avez vous lu ou feuilleté Les Canadiens et les Canadiennes en santé 2006?,
"Norway promotes dialogue and co-operation on non-proliferation in a range of fora so as to address the threat posed by proliferation of nuclear, chemical, or biological weapons and their means of delivery.","Elle promeut le dialogue et coopère en matière de non-prolifération dans de nombreuses enceintes de façon à s'attaquer à la menace posée par la prolifération des armes nucléaires, chimiques ou biologiques et de leurs vecteurs.",
"- Hey, do you know how many kids they have?",- Vous savez combien de gosses ils ont ?,
that's too bad.,Vraiment ? Dommage.,
"The memorandum also states that arrangements are being made with the training department to ensure that all employees who were on duty during Mr. Benjamin's trip receive refresher training, which will begin in early June and will be completed by August 31, 2004.","La note de service mentionne également que des mesures ont été prises, de concert avec le service de formation du personnel, visant à assurer que tous les employés qui étaient en devoir au cours du voyage de M. Benjamin suivent des cours de recyclage qui commenceront au début juin et se termineront au plus tard le 31 août 2004.",
"This is where the real danger hides, not in Iraq.","C'est ici que le véritable danger se trouve, pas en Iraq.",
All were convicted of crimes “endangering state security.”,"Ils ont tous été condamnés pour ""avoir mis en danger la sécurité de l'État"".",
It has already encountered.,Il l'a déjà rencontrée.,
A man working in a factory far from his home discovers a bundle of letters in the drawer of his hotel room.,"Venu travailler comme auditeur dans une usine loin de chez lui, un homme découvre dans le tiroir d'un meuble de sa chambre d'hôtel un paquet de lettres.",
"A.19.1 The amount of $501,700, including an increase of $48,000, provides for meetings of the Commission and its subsidiary bodies.","A.19.1 Le montant nécessaire (501 700 dollars, compte tenu d'une augmentation de 48 000 dollars) couvre le coût des réunions de la Commission et de ses organes subsidiaires.",
The Government of Canada is committed to promoting French and English in Canadian society and to furthering the development of French and English minority-language communities.,Le gouvernement du Canada a à coeur de promouvoir le français et l'anglais au sein de la société canadienne et de favoriser l'épanouissement des communautés francophones et anglophones qui vivent en situation minoritaire.,
You wasted a trip.,Vous avez perdu votre temps.,
The hurricane continued along the northeast coast of North America and became an extratropical hurricane.,L’ouragan a poursuivi sa route le long de la côte nord-est de l’Amérique du Nord et est devenu un ouragan extratropical.,
That's the thing about Vegas.,C'est Las Vegas.,
At the same time the EU has programmes to combat tobacco induced cancer.,"Et de surcroît, dans le même temps, l'UE finance des programmes de lutte contre les cancers provoqués par le tabagisme.",
"He died in Madrid the 17 December of 1981, was buried in Logroño, in the familiar pantheon.","Il décède à Madrid le 17 Décembre de 1981, enterré à Logroño, dans le panthéon familial.",
I can kill him.,Je peux le tuer.,
